Date,Heure,Type,Hauteur d'eau,Coef
2026-01-22,06:36,Haute Mer,4.358,98
2026-01-22,12:53,Basse Mer,0.777,90
2026-01-22,18:56,Haute Mer,4.065,82
2026-01-23,01:06,Basse Mer,0.864,88
2026-01-23,07:14,Haute Mer,4.290,95
2026-01-23,13:31,Basse Mer,0.816,86
2026-01-23,19:35,Haute Mer,3.983,77
2026-01-24,01:46,Basse Mer,0.919,83
2026-01-24,07:54,Haute Mer,4.181,88
2026-01-24,14:12,Basse Mer,0.905,80
2026-01-24,20:17,Haute Mer,3.877,71
2026-01-25,02:28,Basse Mer,1.020,76
2026-01-25,08:39,Haute Mer,4.037,80
2026-01-25,14:56,Basse Mer,1.045,72
2026-01-25,21:04,Haute Mer,3.754,64
2026-01-26,03:16,Basse Mer,1.162,67
2026-01-26,09:31,Haute Mer,3.864,70
2026-01-26,15:50,Basse Mer,1.221,64
2026-01-26,22:03,Haute Mer,3.636,57
2026-01-27,04:17,Basse Mer,1.318,59
2026-01-27,10:37,Haute Mer,3.694,61
2026-01-27,16:57,Basse Mer,1.381,57
2026-01-27,23:18,Haute Mer,3.575,54
2026-01-28,05:35,Basse Mer,1.407,55
2026-01-28,12:00,Haute Mer,3.604,55
2026-01-28,18:14,Basse Mer,1.444,56
2026-01-29,00:41,Haute Mer,3.640,58
2026-01-29,06:57,Basse Mer,1.349,58
2026-01-29,13:26,Haute Mer,3.672,59
2026-01-29,19:29,Basse Mer,1.373,64
2026-01-30,01:57,Haute Mer,3.841,69
2026-01-30,08:11,Basse Mer,1.164,70
2026-01-30,14:38,Haute Mer,3.871,71
2026-01-30,20:36,Basse Mer,1.200,78
2026-01-31,03:01,Haute Mer,4.122,85
2026-01-31,09:15,Basse Mer,0.923,85
2026-01-31,15:35,Haute Mer,4.104,84
2026-01-31,21:34,Basse Mer,0.984,92
2026-02-01,03:56,Haute Mer,4.395,101
2026-02-01,10:09,Basse Mer,0.701,98
2026-02-01,16:24,Haute Mer,4.291,95
2026-02-01,22:24,Basse Mer,0.785,103
2026-02-02,04:42,Haute Mer,4.592,112
2026-02-02,10:55,Basse Mer,0.551,106
2026-02-02,17:06,Haute Mer,4.392,100
2026-02-02,23:08,Basse Mer,0.648,108
2026-02-03,05:24,Haute Mer,4.675,117
2026-02-03,11:37,Basse Mer,0.498,109
2026-02-03,17:45,Haute Mer,4.397,101
2026-02-03,23:48,Basse Mer,0.596,108
2026-02-04,06:02,Haute Mer,4.641,115
2026-02-04,12:15,Basse Mer,0.540,105
2026-02-04,18:21,Haute Mer,4.318,96
2026-02-05,00:26,Basse Mer,0.632,102
2026-02-05,06:37,Haute Mer,4.505,107
2026-02-05,12:51,Basse Mer,0.665,97
2026-02-05,18:55,Haute Mer,4.176,88
2026-02-06,01:01,Basse Mer,0.747,92
2026-02-06,07:09,Haute Mer,4.298,95
2026-02-06,13:26,Basse Mer,0.850,86
2026-02-06,19:27,Haute Mer,3.995,78
2026-02-07,01:35,Basse Mer,0.926,79
2026-02-07,07:40,Haute Mer,4.048,81
2026-02-07,13:59,Basse Mer,1.076,73
2026-02-07,19:58,Haute Mer,3.794,66
2026-02-08,02:09,Basse Mer,1.149,66
2026-02-08,08:12,Haute Mer,3.780,66
2026-02-08,14:33,Basse Mer,1.322,60
2026-02-08,20:32,Haute Mer,3.585,54
2026-02-09,02:45,Basse Mer,1.395,52
2026-02-09,08:49,Haute Mer,3.509,50
2026-02-09,15:10,Basse Mer,1.570,46
2026-02-09,21:15,Haute Mer,3.380,43
2026-02-10,03:29,Basse Mer,1.642,39
2026-02-10,09:35,Haute Mer,3.256,36
2026-02-10,16:03,Basse Mer,1.794,34
2026-02-10,22:14,Haute Mer,3.214,33
2026-02-11,04:42,Basse Mer,1.837,29
2026-02-11,10:45,Haute Mer,3.067,25
2026-02-11,17:33,Basse Mer,1.911,28
2026-02-12,06:30,Basse Mer,1.844,28
2026-02-12,13:08,Haute Mer,3.085,26
2026-02-12,19:01,Basse Mer,1.838,32
2026-02-13,01:31,Haute Mer,3.316,39
2026-02-13,07:44,Basse Mer,1.678,39
2026-02-13,14:16,Haute Mer,3.302,38
2026-02-13,20:05,Basse Mer,1.649,45
2026-02-14,02:29,Haute Mer,3.567,53
2026-02-14,08:38,Basse Mer,1.449,53
2026-02-14,15:02,Haute Mer,3.569,54
2026-02-14,20:54,Basse Mer,1.412,61
2026-02-15,03:13,Haute Mer,3.850,69
2026-02-15,09:22,Basse Mer,1.203,69
2026-02-15,15:40,Haute Mer,3.832,69
2026-02-15,21:36,Basse Mer,1.167,77
2026-02-16,03:52,Haute Mer,4.120,85
2026-02-16,10:02,Basse Mer,0.966,83
2026-02-16,16:15,Haute Mer,4.060,81
2026-02-16,22:16,Basse Mer,0.937,90
2026-02-17,04:28,Haute Mer,4.348,98
2026-02-17,10:40,Basse Mer,0.760,95
2026-02-17,16:49,Haute Mer,4.228,91
2026-02-17,22:54,Basse Mer,0.747,99
2026-02-18,05:03,Haute Mer,4.509,107
2026-02-18,11:18,Basse Mer,0.606,102
2026-02-18,17:23,Haute Mer,4.325,97
2026-02-18,23:31,Basse Mer,0.613,104
2026-02-19,05:39,Haute Mer,4.587,112
2026-02-19,11:55,Basse Mer,0.519,105
2026-02-19,17:58,Haute Mer,4.347,98
2026-02-20,00:09,Basse Mer,0.548,104
2026-02-20,06:15,Haute Mer,4.575,111
2026-02-20,12:31,Basse Mer,0.510,103
2026-02-20,18:35,Haute Mer,4.300,95
2026-02-21,00:46,Basse Mer,0.559,100
2026-02-21,06:53,Haute Mer,4.479,105
2026-02-21,13:09,Basse Mer,0.584,97
2026-02-21,19:12,Haute Mer,4.191,89
2026-02-22,01:24,Basse Mer,0.650,92
2026-02-22,07:33,Haute Mer,4.305,95
2026-02-22,13:47,Basse Mer,0.742,88
2026-02-22,19:52,Haute Mer,4.032,80
2026-02-23,02:05,Basse Mer,0.817,81
2026-02-23,08:16,Haute Mer,4.066,82
2026-02-23,14:30,Basse Mer,0.974,75
2026-02-23,20:37,Haute Mer,3.834,69
2026-02-24,02:52,Basse Mer,1.049,67
2026-02-24,09:07,Haute Mer,3.782,66
2026-02-24,15:20,Basse Mer,1.253,61
2026-02-24,21:35,Haute Mer,3.623,57
2026-02-25,03:54,Basse Mer,1.303,53
2026-02-25,10:16,Haute Mer,3.510,50
2026-02-25,16:30,Basse Mer,1.503,49
2026-02-25,22:57,Haute Mer,3.479,48
2026-02-26,05:21,Basse Mer,1.452,46
2026-02-26,11:54,Haute Mer,3.385,43
2026-02-26,17:57,Basse Mer,1.588,47
2026-02-27,00:33,Haute Mer,3.528,51
2026-02-27,06:50,Basse Mer,1.377,51
2026-02-27,13:24,Haute Mer,3.510,50
2026-02-27,19:18,Basse Mer,1.461,57
2026-02-28,01:51,Haute Mer,3.771,65
2026-02-28,08:04,Basse Mer,1.146,65
2026-02-28,14:31,Haute Mer,3.782,66
2026-02-28,20:26,Basse Mer,1.204,74
2026-03-01,02:52,Haute Mer,4.093,83
2026-03-01,09:03,Basse Mer,0.873,83
2026-03-01,15:23,Haute Mer,4.069,82
2026-03-01,21:20,Basse Mer,0.918,91
2026-03-02,03:41,Haute Mer,4.386,100
2026-03-02,09:52,Basse Mer,0.641,97
2026-03-02,16:06,Haute Mer,4.293,95
2026-03-02,22:06,Basse Mer,0.679,103
2026-03-03,04:23,Haute Mer,4.581,111
2026-03-03,10:34,Basse Mer,0.494,107
2026-03-03,16:44,Haute Mer,4.420,102
2026-03-03,22:47,Basse Mer,0.528,109
2026-03-04,05:01,Haute Mer,4.653,115
2026-03-04,11:12,Basse Mer,0.446,109
2026-03-04,17:19,Haute Mer,4.446,104
2026-03-04,23:24,Basse Mer,0.479,108
2026-03-05,05:35,Haute Mer,4.607,113
2026-03-05,11:47,Basse Mer,0.492,106
2026-03-05,17:52,Haute Mer,4.384,100
2026-03-06,06:07,Haute Mer,4.469,105
2026-03-06,12:20,Basse Mer,0.615,99
2026-03-06,18:22,Haute Mer,4.258,93
2026-03-07,00:31,Basse Mer,0.653,93
2026-03-07,06:35,Haute Mer,4.269,93
2026-03-07,12:50,Basse Mer,0.794,88
2026-03-07,18:50,Haute Mer,4.092,83
2026-03-08,01:01,Basse Mer,0.836,82
2026-03-08,07:03,Haute Mer,4.035,80
2026-03-08,13:19,Basse Mer,1.011,76
2026-03-08,19:19,Haute Mer,3.900,72
2026-03-09,01:31,Basse Mer,1.055,69
2026-03-09,07:33,Haute Mer,3.781,66
2026-03-09,13:48,Basse Mer,1.250,63
2026-03-09,19:52,Haute Mer,3.688,60
2026-03-10,02:03,Basse Mer,1.299,55
2026-03-10,08:08,Haute Mer,3.515,50
2026-03-10,14:20,Basse Mer,1.503,49
2026-03-10,20:31,Haute Mer,3.466,48
2026-03-11,02:42,Basse Mer,1.554,42
2026-03-11,08:53,Haute Mer,3.255,36
2026-03-11,15:03,Basse Mer,1.756,36
2026-03-11,21:24,Haute Mer,3.262,36
2026-03-12,03:38,Basse Mer,1.789,30
2026-03-12,09:53,Haute Mer,3.046,24
2026-03-12,16:17,Basse Mer,1.956,26
2026-03-12,22:40,Haute Mer,3.143,29
2026-03-13,05:32,Basse Mer,1.883,25
2026-03-13,11:51,Haute Mer,2.985,20
2026-03-13,18:14,Basse Mer,1.937,27
2026-03-14,00:36,Haute Mer,3.221,34
2026-03-14,07:06,Basse Mer,1.720,34
2026-03-14,13:41,Haute Mer,3.217,33
2026-03-14,19:30,Basse Mer,1.718,41
2026-03-15,01:52,Haute Mer,3.489,49
2026-03-15,08:05,Basse Mer,1.458,50
2026-03-15,14:30,Haute Mer,3.532,51
2026-03-15,20:23,Basse Mer,1.428,59
2026-03-16,02:40,Haute Mer,3.820,68
2026-03-16,08:51,Basse Mer,1.167,69
2026-03-16,15:09,Haute Mer,3.854,70
2026-03-16,21:08,Basse Mer,1.123,78
2026-03-17,03:22,Haute Mer,4.149,87
2026-03-17,09:33,Basse Mer,0.881,86
2026-03-17,15:46,Haute Mer,4.140,86
2026-03-17,21:49,Basse Mer,0.837,94
2026-03-18,04:00,Haute Mer,4.432,103
2026-03-18,10:13,Basse Mer,0.635,101
2026-03-18,16:21,Haute Mer,4.359,99
2026-03-18,22:29,Basse Mer,0.601,106
2026-03-19,04:37,Haute Mer,4.631,114
2026-03-19,10:52,Basse Mer,0.457,110
2026-03-19,16:58,Haute Mer,4.491,106
2026-03-19,23:08,Basse Mer,0.439,113
2026-03-20,05:15,Haute Mer,4.720,119
2026-03-20,11:30,Basse Mer,0.371,114
2026-03-20,17:34,Haute Mer,4.528,108
2026-03-20,23:46,Basse Mer,0.370,113
2026-03-21,05:53,Haute Mer,4.689,117
2026-03-21,12:07,Basse Mer,0.392,111
2026-03-21,18:12,Haute Mer,4.472,105
2026-03-22,00:25,Basse Mer,0.404,107
2026-03-22,06:32,Haute Mer,4.544,109
2026-03-22,12:45,Basse Mer,0.519,103
2026-03-22,18:50,Haute Mer,4.334,97
2026-03-23,01:05,Basse Mer,0.540,96
2026-03-23,07:13,Haute Mer,4.301,95
2026-03-23,13:25,Basse Mer,0.741,90
2026-03-23,19:32,Haute Mer,4.129,85
2026-03-24,01:48,Basse Mer,0.765,81
2026-03-24,07:59,Haute Mer,3.989,77
2026-03-24,14:09,Basse Mer,1.033,74
2026-03-24,20:19,Haute Mer,3.880,71
2026-03-25,02:39,Basse Mer,1.050,65
2026-03-25,08:54,Haute Mer,3.654,58
2026-03-25,15:02,Basse Mer,1.347,58
2026-03-25,21:22,Haute Mer,3.630,57
2026-03-26,03:47,Basse Mer,1.318,50
2026-03-26,10:16,Haute Mer,3.384,43
2026-03-26,16:18,Basse Mer,1.584,46
2026-03-26,22:54,Haute Mer,3.492,49
2026-03-27,05:18,Basse Mer,1.416,45
2026-03-27,11:55,Haute Mer,3.339,40
2026-03-27,17:47,Basse Mer,1.601,47
2026-03-28,00:25,Haute Mer,3.574,54
2026-03-28,06:39,Basse Mer,1.298,52
2026-03-28,13:12,Haute Mer,3.513,50
2026-03-28,19:04,Basse Mer,1.415,58
2026-03-29,01:36,Haute Mer,3.809,67
2026-03-29,07:46,Basse Mer,1.075,67
2026-03-29,14:12,Haute Mer,3.787,66
2026-03-29,20:06,Basse Mer,1.140,74
2026-03-30,02:32,Haute Mer,4.090,83
2026-03-30,08:40,Basse Mer,0.842,82
2026-03-30,15:00,Haute Mer,4.057,81
2026-03-30,20:58,Basse Mer,0.869,89
2026-03-31,03:18,Haute Mer,4.327,97
2026-03-31,09:26,Basse Mer,0.656,95
2026-03-31,15:40,Haute Mer,4.265,93
2026-03-31,21:41,Basse Mer,0.662,99
2026-04-01,03:58,Haute Mer,4.470,105
2026-04-01,10:06,Basse Mer,0.546,102
2026-04-01,16:17,Haute Mer,4.383,100
2026-04-01,22:20,Basse Mer,0.547,103
2026-04-02,04:34,Haute Mer,4.508,107
2026-04-02,10:43,Basse Mer,0.520,104
2026-04-02,16:51,Haute Mer,4.410,101
2026-04-02,22:56,Basse Mer,0.524,103
2026-04-03,05:06,Haute Mer,4.451,104
2026-04-03,11:16,Basse Mer,0.570,101
2026-04-03,17:22,Haute Mer,4.361,99
2026-04-03,23:30,Basse Mer,0.583,98
2026-04-04,05:36,Haute Mer,4.324,97
2026-04-04,11:48,Basse Mer,0.682,95
2026-04-04,17:50,Haute Mer,4.256,93
2026-04-05,06:05,Haute Mer,4.153,87
2026-04-05,12:17,Basse Mer,0.839,86
2026-04-05,18:19,Haute Mer,4.116,85
2026-04-06,00:32,Basse Mer,0.860,80
2026-04-06,06:33,Haute Mer,3.954,75
2026-04-06,12:46,Basse Mer,1.027,75
2026-04-06,18:48,Haute Mer,3.948,75
2026-04-07,01:02,Basse Mer,1.048,69
2026-04-07,07:04,Haute Mer,3.735,63
2026-04-07,13:15,Basse Mer,1.237,64
2026-04-07,19:22,Haute Mer,3.756,64
2026-04-08,01:35,Basse Mer,1.256,57
2026-04-08,07:41,Haute Mer,3.504,50
2026-04-08,13:48,Basse Mer,1.461,51
2026-04-08,20:03,Haute Mer,3.551,53
2026-04-09,02:14,Basse Mer,1.475,45
2026-04-09,08:26,Haute Mer,3.283,37
2026-04-09,14:30,Basse Mer,1.687,39
2026-04-09,20:54,Haute Mer,3.362,42
2026-04-10,03:08,Basse Mer,1.678,35
2026-04-10,09:25,Haute Mer,3.109,27
2026-04-10,15:36,Basse Mer,1.872,31
2026-04-10,22:03,Haute Mer,3.246,35
2026-04-11,04:39,Basse Mer,1.776,30
2026-04-11,10:51,Haute Mer,3.059,24
2026-04-11,17:17,Basse Mer,1.890,31
2026-04-11,23:30,Haute Mer,3.282,37
2026-04-12,06:12,Basse Mer,1.662,35
2026-04-12,12:37,Haute Mer,3.222,34
2026-04-12,18:39,Basse Mer,1.706,41
2026-04-13,00:55,Haute Mer,3.495,49
2026-04-13,07:17,Basse Mer,1.422,50
2026-04-13,13:41,Haute Mer,3.524,51
2026-04-13,19:40,Basse Mer,1.424,59
2026-04-14,01:55,Haute Mer,3.811,67
2026-04-14,08:10,Basse Mer,1.136,69
2026-04-14,14:28,Haute Mer,3.856,70
2026-04-14,20:31,Basse Mer,1.111,78
2026-04-15,02:44,Haute Mer,4.145,86
2026-04-15,08:57,Basse Mer,0.850,87
2026-04-15,15:10,Haute Mer,4.163,87
2026-04-15,21:17,Basse Mer,0.813,95
2026-04-16,03:27,Haute Mer,4.436,103
2026-04-16,09:41,Basse Mer,0.606,102
2026-04-16,15:50,Haute Mer,4.405,101
2026-04-16,22:00,Basse Mer,0.566,108
2026-04-17,04:09,Haute Mer,4.635,114
2026-04-17,10:23,Basse Mer,0.442,112
2026-04-17,16:30,Haute Mer,4.554,110
2026-04-17,22:42,Basse Mer,0.403,114
2026-04-18,04:50,Haute Mer,4.709,119
2026-04-18,11:04,Basse Mer,0.382,115
2026-04-18,17:10,Haute Mer,4.599,112
2026-04-18,23:24,Basse Mer,0.344,114
2026-04-19,05:32,Haute Mer,4.650,115
2026-04-19,11:44,Basse Mer,0.435,112
2026-04-19,17:51,Haute Mer,4.542,109
2026-04-20,00:06,Basse Mer,0.397,107
2026-04-20,06:14,Haute Mer,4.471,105
2026-04-20,12:25,Basse Mer,0.593,103
2026-04-20,18:33,Haute Mer,4.395,101
2026-04-21,00:50,Basse Mer,0.553,95
2026-04-21,07:00,Haute Mer,4.202,90
2026-04-21,13:08,Basse Mer,0.830,89
2026-04-21,19:18,Haute Mer,4.181,88
2026-04-22,01:38,Basse Mer,0.786,80
2026-04-22,07:51,Haute Mer,3.890,72
2026-04-22,13:56,Basse Mer,1.107,73
2026-04-22,20:12,Haute Mer,3.936,74
2026-04-23,02:35,Basse Mer,1.044,65
2026-04-23,08:54,Haute Mer,3.595,55
2026-04-23,14:54,Basse Mer,1.366,58
2026-04-23,21:21,Haute Mer,3.718,62
2026-04-24,03:46,Basse Mer,1.241,53
2026-04-24,10:16,Haute Mer,3.413,45
2026-04-24,16:09,Basse Mer,1.514,50
2026-04-24,22:46,Haute Mer,3.621,56
2026-04-25,05:04,Basse Mer,1.286,51
2026-04-25,11:38,Haute Mer,3.410,44
2026-04-25,17:28,Basse Mer,1.485,51
2026-04-26,00:03,Haute Mer,3.671,59
2026-04-26,06:15,Basse Mer,1.201,56
2026-04-26,12:45,Haute Mer,3.548,52
2026-04-26,18:37,Basse Mer,1.327,59
2026-04-27,01:08,Haute Mer,3.814,68
2026-04-27,07:16,Basse Mer,1.057,66
2026-04-27,13:42,Haute Mer,3.756,64
2026-04-27,19:37,Basse Mer,1.118,71
2026-04-28,02:03,Haute Mer,3.988,77
2026-04-28,08:08,Basse Mer,0.906,77
2026-04-28,14:29,Haute Mer,3.966,76
2026-04-28,20:27,Basse Mer,0.922,81
2026-04-29,02:49,Haute Mer,4.135,86
2026-04-29,08:54,Basse Mer,0.785,86
2026-04-29,15:11,Haute Mer,4.133,86
2026-04-29,21:12,Basse Mer,0.778,88
2026-04-30,03:30,Haute Mer,4.222,91
2026-04-30,09:35,Basse Mer,0.714,91
2026-04-30,15:48,Haute Mer,4.234,91
2026-04-30,21:52,Basse Mer,0.703,92
2026-05-01,04:07,Haute Mer,4.239,92
2026-05-01,10:12,Basse Mer,0.700,93
2026-05-01,16:23,Haute Mer,4.267,93
2026-05-01,22:29,Basse Mer,0.694,91
2026-05-02,04:40,Haute Mer,4.195,89
2026-05-02,10:46,Basse Mer,0.739,91
2026-05-02,16:54,Haute Mer,4.241,92
2026-05-02,23:03,Basse Mer,0.738,88
2026-05-03,05:10,Haute Mer,4.105,84
2026-05-03,11:18,Basse Mer,0.823,86
2026-05-03,17:24,Haute Mer,4.174,88
2026-05-03,23:36,Basse Mer,0.821,83
2026-05-04,05:39,Haute Mer,3.984,77
2026-05-04,11:49,Basse Mer,0.939,80
2026-05-04,17:54,Haute Mer,4.074,82
2026-05-05,00:08,Basse Mer,0.932,76
2026-05-05,06:10,Haute Mer,3.840,69
2026-05-05,12:20,Basse Mer,1.078,72
2026-05-05,18:26,Haute Mer,3.948,75
2026-05-06,00:42,Basse Mer,1.064,67
2026-05-06,06:44,Haute Mer,3.678,60
2026-05-06,12:52,Basse Mer,1.234,63
2026-05-06,19:01,Haute Mer,3.799,67
2026-05-07,01:18,Basse Mer,1.212,58
2026-05-07,07:23,Haute Mer,3.509,50
2026-05-07,13:29,Basse Mer,1.399,54
2026-05-07,19:44,Haute Mer,3.641,58
2026-05-08,01:59,Basse Mer,1.365,49
2026-05-08,08:09,Haute Mer,3.353,41
2026-05-08,14:14,Basse Mer,1.559,45
2026-05-08,20:34,Haute Mer,3.499,50
2026-05-09,02:52,Basse Mer,1.496,42
2026-05-09,09:04,Haute Mer,3.240,35
2026-05-09,15:13,Basse Mer,1.680,40
2026-05-09,21:35,Haute Mer,3.416,45
2026-05-10,04:01,Basse Mer,1.556,39
2026-05-10,10:14,Haute Mer,3.213,33
2026-05-10,16:28,Basse Mer,1.701,39
2026-05-10,22:44,Haute Mer,3.434,46
2026-05-11,05:16,Basse Mer,1.496,42
2026-05-11,11:32,Haute Mer,3.313,39
2026-05-11,17:44,Basse Mer,1.590,46
2026-05-12,06:24,Basse Mer,1.332,52
2026-05-12,12:43,Haute Mer,3.534,51
2026-05-12,18:51,Basse Mer,1.380,59
2026-05-13,01:04,Haute Mer,3.800,67
2026-05-13,07:24,Basse Mer,1.111,67
2026-05-13,13:42,Haute Mer,3.815,68
2026-05-13,19:49,Basse Mer,1.119,75
2026-05-14,02:02,Haute Mer,4.072,82
2026-05-14,08:18,Basse Mer,0.881,83
2026-05-14,14:32,Haute Mer,4.096,84
2026-05-14,20:43,Basse Mer,0.855,90
2026-05-15,02:54,Haute Mer,4.319,96
2026-05-15,09:08,Basse Mer,0.684,97
2026-05-15,15:19,Haute Mer,4.331,97
2026-05-15,21:32,Basse Mer,0.629,101
2026-05-16,03:42,Haute Mer,4.488,106
2026-05-16,09:55,Basse Mer,0.556,106
2026-05-16,16:04,Haute Mer,4.488,106
2026-05-16,22:19,Basse Mer,0.477,108
2026-05-17,04:29,Haute Mer,4.546,109
2026-05-17,10:40,Basse Mer,0.516,109
2026-05-17,16:49,Haute Mer,4.552,110
2026-05-17,23:06,Basse Mer,0.418,108
2026-05-18,05:16,Haute Mer,4.488,106
2026-05-18,11:25,Basse Mer,0.566,107
2026-05-18,17:35,Haute Mer,4.522,108
2026-05-18,23:53,Basse Mer,0.455,102
2026-05-19,06:03,Haute Mer,4.331,97
2026-05-19,12:10,Basse Mer,0.692,99
2026-05-19,18:22,Haute Mer,4.412,102
2026-05-20,00:41,Basse Mer,0.575,93
2026-05-20,06:53,Haute Mer,4.113,85
2026-05-20,12:57,Basse Mer,0.867,88
2026-05-20,19:12,Haute Mer,4.244,92
2026-05-21,01:32,Basse Mer,0.747,81
2026-05-21,07:47,Haute Mer,3.874,71
2026-05-21,13:48,Basse Mer,1.056,76
2026-05-21,20:08,Haute Mer,4.052,81
2026-05-22,02:28,Basse Mer,0.930,70
2026-05-22,08:47,Haute Mer,3.663,59
2026-05-22,14:44,Basse Mer,1.220,65
2026-05-22,21:11,Haute Mer,3.873,71
2026-05-23,03:30,Basse Mer,1.079,61
2026-05-23,09:54,Haute Mer,3.519,51
2026-05-23,15:48,Basse Mer,1.321,57
2026-05-23,22:19,Haute Mer,3.747,64
2026-05-24,04:35,Basse Mer,1.161,56
2026-05-24,11:02,Haute Mer,3.472,48
2026-05-24,16:55,Basse Mer,1.340,54
2026-05-24,23:28,Haute Mer,3.690,60
2026-05-25,05:38,Basse Mer,1.173,56
2026-05-25,12:07,Haute Mer,3.518,51
2026-05-25,18:00,Basse Mer,1.287,55
2026-05-26,00:31,Haute Mer,3.698,61
2026-05-26,06:37,Basse Mer,1.135,59
2026-05-26,13:04,Haute Mer,3.629,57
2026-05-26,19:00,Basse Mer,1.189,60
2026-05-27,01:28,Haute Mer,3.750,64
2026-05-27,07:31,Basse Mer,1.071,64
2026-05-27,13:55,Haute Mer,3.765,65
2026-05-27,19:54,Basse Mer,1.082,66
2026-05-28,02:18,Haute Mer,3.817,68
2026-05-28,08:19,Basse Mer,1.005,70
2026-05-28,14:40,Haute Mer,3.893,72
2026-05-28,20:42,Basse Mer,0.990,71
2026-05-29,03:02,Haute Mer,3.875,71
2026-05-29,09:03,Basse Mer,0.954,74
2026-05-29,15:21,Haute Mer,3.990,78
2026-05-29,21:25,Basse Mer,0.929,75
2026-05-30,03:42,Haute Mer,3.907,73
2026-05-30,09:42,Basse Mer,0.929,77
2026-05-30,15:57,Haute Mer,4.050,81
2026-05-30,22:04,Basse Mer,0.899,77
2026-05-31,04:17,Haute Mer,3.911,73
2026-05-31,10:19,Basse Mer,0.932,78
2026-05-31,16:31,Haute Mer,4.072,82
2026-05-31,22:41,Basse Mer,0.898,77
2026-06-01,04:50,Haute Mer,3.887,72
2026-06-01,10:54,Basse Mer,0.962,77
